"","logFC","logCPM","LR","PValue","FDR"
"AFFX-HUMGAPDH/M33197_3_at",-5.67941925561621,8.48982775705536,16744.492562675,0,0
"210982_s_at",-5.67085127531642,7.72340138481455,7669.23242167573,0,0
"200673_at",-5.66918753769272,8.25200204622241,3385.25589363643,0,0
"207761_s_at",-5.66117749922375,7.37593128957415,2232.6601275597,0,0
"211911_x_at",-5.65806654079078,8.1699094671556,1812.3401317318,0,0
"201141_at",-5.65094559014252,8.24787957811585,3459.97639059069,0,0
"221476_s_at",-5.64404149444043,8.31771507800095,8153.27024013222,0,0
"201841_s_at",-5.64374669230985,8.28828151722617,2126.04360660028,0,0
"212082_s_at",-5.63827631195104,8.2529899018779,2890.96388836223,0,0
"209069_s_at",-5.62948129697091,8.31538841658032,9682.98632731446,0,0
"212227_x_at",-5.62904921960796,8.32529719786549,2106.04239683892,0,0
"200021_at",-5.62761968782044,8.40996023089315,5062.8342870051,0,0
"211734_s_at",-5.61803143397748,6.81234558144835,2977.03952638664,0,0
"222453_at",-5.61781840871728,7.8014088277778,2886.92333295564,0,0
"213738_s_at",-5.61529045482567,8.32231786558259,3111.54843108379,0,0
"208718_at",-5.60321546524693,8.22802407561045,3926.3083646643,0,0
"213588_x_at",-5.59949782056586,8.38845385757084,7036.54106271919,0,0
"216342_x_at",-5.59914285369241,8.30392121937814,13903.6131623422,0,0
"201160_s_at",-5.58430943556077,8.09206933692827,2244.18381777589,0,0
"208646_at",-5.58307131746536,8.29237086527025,2811.54337831613,0,0
"200033_at",-5.57990992240345,8.29042012722652,13705.3092863739,0,0
"220924_s_at",-5.57481259861852,8.10686713221734,2200.80242334133,0,0
"214328_s_at",-5.56950140922989,8.36627120248221,3595.68120487396,0,0
"204102_s_at",-5.56577538122792,8.33330765847844,14247.2796235798,0,0
"218041_x_at",-5.56456166261999,8.11945366003937,2810.59385609435,0,0
"AFFX-HSAC07/X00351_M_at",-5.56376137725771,8.36317275332971,4323.79306789359,0,0
